No,Day_Month_Year,Auction_No,Auction_Name,Location,Sale_Total,Source,Lots,,,,,,,,,,,,,,,,,,
1,19 May - 2 June 2023,ONLINE AUCTION 21795,Exquisite Eye: Chinese Paintings Online,Hong Kong,"HKD 8,490,762",https://onlineonly.christies.com/s/exquisite-eye-chinese-paintings-online/lots/3273?loadall=true&page=2&sortby=LotNumber,99,,,,,,,,,,,,,,,,,,
2,1 June 2023,LIVE AUCTION 21792,Fine Chinese Classical Paintings and Calligraphy,Hong Kong,"HKD 164,321,990",https://www.christies.com/en/auction/fine-chinese-classical-paintings-and-calligraphy-29923/?loadall=true&page=2&sortby=lotnumber,111,,,,,,,,,,,,,,,,,,
3,31 May 2023,LIVE AUCTION 21793,Fine Chinese Modern and Contemporary Ink Paintings,Hong Kong,"HKD 232,080,820",https://www.christies.com/en/auction/fine-chinese-modern-and-contemporary-ink-paintings-29924/?loadall=true&page=2&sortby=lotnumber,234,,,,,,,,,,,,,,,,,,
4,29 May 2023,LIVE AUCTION 21394,20th Century Art Day Sale,Hong Kong,"HKD 174,730,420",https://www.christies.com/en/auction/20th-century-art-day-sale-29789/?loadall=true&page=2&sortby=lotnumber,95,,,,,,,,,,,,,,,,,,
5,29 May 2023,LIVE AUCTION 21390,21st Century Art Day Sale,Hong Kong,"HKD 180,725,500",https://www.christies.com/en/auction/21st-century-art-day-sale-29785/?loadall=true&page=2&sortby=lotnumber,103,,,,,,,,,,,,,,,,,,
6,28 May 2023,LIVE AUCTION 21389,20th/21st Century Art Evening Sale,Hong Kong,"HKD 725,713,800",https://www.christies.com/en/auction/20th-21st-century-art-evening-sale-29784/,57,,,,,,,,,,,,,,,,,,
7,28 May 2023,LIVE AUCTION 22718,Post-Millennium Evening Sale,Hong Kong,"HKD 163,453,800",https://www.christies.com/en/auction/post-millennium-evening-sale-30304/,31,,,,,,,,,,,,,,,,,,
8,12 - 21 April 2023,ONLINE AUCTION 20893,Making Her Mark: 20th/21st Century Women Artists,Hong Kong,"HKD 10,723,860",https://onlineonly.christies.com/s/making-her-mark-20th-21st-century-women-artists/lots/2094,29,,,,,,,,,,,,,,,,,,
9,12 - 20 April 2023,ONLINE AUCTION 21147,NO REGRETS: 20th/21st Century Art Online Sale,Hong Kong,"HKD 7,708,302",https://onlineonly.christies.com/s/no-regrets-20th-21st-century-art-online-sale/lots/3287?loadall=true&page=2&sortby=LotNumber,117,,,,,,,,,,,,,,,,,,
10,14 - 28 February 2023,ONLINE AUCTION 21794,Dawn of Spring – Chinese Paintings Online,Hong Kong,"HKD 13,274,730",https://onlineonly.christies.com/s/dawn-spring-chinese-paintings-online/lots/3272?loadall=true&page=2&sortby=LotNumber,134,,,,,,,,,,,,,,,,,,
11,5 - 13 December 2022,ONLINE AUCTION 19897,NO REGRETS: 20th/21st Century Art Online,Hong Kong,"HKD 9,011,898",https://onlineonly.christies.com/s/no-regrets-20th-21st-century-art-online/lots/3298?loadall=true&page=2&sortby=LotNumber,150,,,,,,,,,,,,,,,,,,
12,23 November - 7 December 2022,ONLINE AUCTION 20829,Exquisite Eye: Chinese Paintings Online,Hong Kong,"HKD 8,850,870",https://onlineonly.christies.com/s/exquisite-eye-chinese-paintings-online/lots/2077?loadall=true&page=2&sortby=LotNumber,150,,,,,,,,,,,,,,,,,,
13,3 December 2022,LIVE AUCTION 20833,Fine Chinese Classical Paintings and Calligraphy,Hong Kong,"HKD 90,651,360",https://www.christies.com/en/auction/fine-chinese-classical-paintings-and-calligraphy-29513/?loadall=true&page=2&sortby=lotnumber,123,,,,,,,,,,,,,,,,,,
14,2 December 2022,LIVE AUCTION 20832,Fine Chinese Modern and Contemporary Ink Paintings,Hong Kong,"HKD 192,637,020",https://www.christies.com/en/auction/fine-chinese-modern-and-contemporary-ink-paintings-29512/?loadall=true&page=2&sortby=lotnumber,240,,,,,,,,,,,,,,,,,,
15,1 December 2022,LIVE AUCTION 19902,20th Century Art Day Sale,Hong Kong,"HKD 146,842,200",https://www.christies.com/en/auction/20th-century-art-day-sale-29079/,80,,,,,,,,,,,,,,,,,,
16,1 December 2022,LIVE AUCTION 19903,21st Century Art Day Sale,Hong Kong,"HKD 192,680,100",https://www.christies.com/en/auction/21st-century-art-day-sale-29080/?loadall=true&page=2&sortby=lotnumber,101,,,,,,,,,,,,,,,,,,
17,30 November 2022,LIVE AUCTION 19901,20th/21st Century Art Evening Sale,Hong Kong,"HKD 678,210,000",https://www.christies.com/en/auction/20th-21st-century-art-evening-sale-29078/,51,,,,,,,,,,,,,,,,,,
